id,indicator,indicator_THA,indicator_ENG,detail_THA,detail_ENG,calculation_method_THA,calculation_method_ENG
11,health_spending_over_25_percent,ร้อยละของประชากรที่มีค่าใช้จ่ายด้านสุขภาพที่จ่ายเองมากกว่าร้อยละ 25 ของรายได้,Health Spending >25% Income,วัดบุคคลที่จัดสรรเกินกว่า 25% ของรายได้สำหรับค่าใช้จ่ายด้านสุขภาพ สะท้อนภาระทางการเงินที่รุนแรงจากค่ารักษาพยาบาลและความเป็นไปได้ของความยากจนเนื่องจากการใช้จ่ายที่เกี่ยวข้องกับสุขภาพ,Captures individuals allocating more than 25% of their income to healthcare expenses. This represents severe financial burden from medical costs and potential impoverishment due to health-related spending.,จำนวนผู้จ่ายค่ารักษาพยาบาลเกิน 25% ของรายได้ ÷ จำนวนประชากรทั้งหมด × 100,Number of people spending >25% of income on healthcare ÷ Total population × 100
12,functional_literacy,อัตราส่วนประชากรที่มีทักษะในด้านการรู้หนังสือ (ฟัง พูด อ่าน เขียน) และการคำนวณ,Functional Literacy,ประเมินความสามารถในการอ่าน เขียน พูด ฟัง และคำนวณพื้นฐานที่จำเป็นสำหรับชีวิตประจำวันและการทำงาน การรู้หนังสือเชิงปฏิบัติเป็นสิ่งจำเป็นสำหรับการมีส่วนร่วมทางสังคม โอกาสทางเศรษฐกิจ และการตัดสินใจอย่างมีข้อมูล,Assesses the ability to read write speak listen and perform basic mathematical calculations necessary for daily life and work. Functional literacy is essential for social participation economic opportunities and informed decision-making.,จำนวนผู้ที่มีทักษะฟัง พูด อ่าน เขียน และคำนวณ ÷ จำนวนประชากรทั้งหมด × 100,Number of people with listening speaking reading writing and calculation skills ÷ Total population × 100
13,primary_completion,อัตราการสำเร็จการศึกษาระดับประถมศึกษา,Primary Education Completion,วัดเปอร์เซ็นต์ของบุคคลที่สำเร็จการศึกษาระดับประถมศึกษาเรียบร้อยแล้ว การสำเร็จการศึกษาระดับประถมให้ทักษะและความรู้พื้นฐานที่จำเป็นสำหรับการเรียนรู้ต่อไปและการบูรณาการทางสังคม,Measures the percentage of individuals who have successfully completed primary education. Primary education completion provides foundational skills and knowledge necessary for further learning and social integration.,จำนวนผู้จบการศึกษาระดับประถม ÷ จำนวนประชากรทั้งหมด × 100,Number of people who completed primary education ÷ Total population × 100
14,secondary_completion,อัตราการสำเร็จการศึกษาระดับมัธยมศึกษา,Secondary Education Completion,ติดตามสัดส่วนของประชากรที่จบการศึกษาระดับมัธยมศึกษา การสำเร็จการศึกษาระดับมัธยมเพิ่มโอกาสในการจ้างงาน ความสามารถในการคิดเชิงวิพากษ์ และการเตรียมตัวสำหรับการศึกษาที่สูงขึ้นหรืองานที่ต้องใช้ทักษะ,Tracks the proportion of the population that has finished secondary education. Secondary education completion enhances employment prospects critical thinking abilities and preparation for higher education or skilled work.,จำนวนผู้จบการศึกษาระดับมัธยม ÷ จำนวนประชากรทั้งหมด × 100,Number of people who completed secondary education ÷ Total population × 100
15,tertiary_completion,อัตราการสำเร็จการศึกษาระดับอุดมศึกษา,Tertiary Education Completion,แสดงเปอร์เซ็นต์ของบุคคลที่สำเร็จการศึกษาระดับอุดมศึกษา รวมถึงมหาวิทยาลัย วิทยาลัย หรือสถาบันการอาชีวศึกษา การศึกษาระดับอุดมศึกษามักนำไปสู่โอกาสการจ้างงานที่ดีขึ้นและศักยภาพรายได้ที่สูงขึ้น,Represents the percentage of individuals who have completed higher education including universities colleges or vocational institutions. Tertiary education typically leads to better employment opportunities and higher income potential.,จำนวนผู้จบการศึกษาระดับอุดมศึกษา ÷ จำนวนประชากรทั้งหมด × 100,Number of people who completed tertiary education ÷ Total population × 100
16,training_participation,อัตราการมีส่วนร่วมในการศึกษาและการฝึกอบรมทั้งในระบบและนอกระบบ,Training Participation,วัดการมีส่วนร่วมในกิจกรรมการศึกษาทั้งในระบบและนอกระบบ รวมถึงโปรแกรมการพัฒนาวิชาชีพและการสร้างทักษะ การเรียนรู้อย่างต่อเนื่องเพิ่มความสามารถในการปรับตัวต่อสภาพเศรษฐกิจที่เปลี่ยนแปลงและความก้าวหน้าทางเทคโนโลยี,Measures engagement in both formal and informal educational activities including professional development and skill-building programs. Continuous learning enhances adaptability to changing economic conditions and technological advancement.,จำนวนผู้เข้าร่วมการฝึกอบรม ÷ จำนวนประชากรทั้งหมด × 100,Number of people participating in training ÷ Total population × 100
17,health_coverage,การเข้าถึงความคุ้มครองด้านสุขภาพ,Health Coverage,แสดงสัดส่วนของประชากรที่มีการเข้าถึงประกันสุขภาพหรือความคุ้มครองการดูแลสุขภาพถ้วนหน้า ความคุ้มครองด้านสุขภาพที่เพียงพอรับประกันการคุ้มครองทางการเงินและการเข้าถึงบริการทางการแพทย์ที่จำเป็นทันเวลา,Indicates the proportion of the population with access to health insurance or universal healthcare coverage. Adequate health coverage ensures financial protection and timely access to necessary medical services.,จำนวนผู้มีประกันสุขภาพ ÷ จำนวนประชากรทั้งหมด × 100,Number of people with health insurance ÷ Total population × 100
18,medical_consultation_skip_cost,ร้อยละของประชากรที่ต้องงดการปรึกษาแพทย์เนื่องจากค่าใช้จ่าย,Skipped Medical Consultation (Cost),วัดเปอร์เซ็นต์ของบุคคลที่หลีกเลี่ยงการขอคำปรึกษาทางการแพทย์เนื่องจากข้อจำกัดทางการเงิน ตัวชี้วัดนี้เผยให้เห็นอุปสรรคทางเศรษฐกิจในการเข้าถึงการดูแลสุขภาพเบื้องต้นและบริการทางการแพทย์เชิงป้องกัน,Measures the percentage of individuals who avoided seeking medical consultation due to financial constraints. This indicator reveals economic barriers to primary healthcare access and preventive medical services.,จำนวนผู้งดพบแพทย์เพราะค่าใช้จ่าย ÷ จำนวนประชากรทั้งหมด × 100,Number of people who skipped medical consultation due to cost ÷ Total population × 100
19,medical_treatment_skip_cost,ร้อยละของประชากรที่ต้องงดการตรวจทางการแพทย์ การรักษา หรือการติดตามผลเนื่องจากค่าใช้จ่าย,Skipped Medical Treatment (Cost),ติดตามบุคคลที่ละทิ้งการรักษาพยาบาล ขั้นตอนการวินิจฉัย หรือการดูแลติดตามเนื่องจากความกังวลเรื่องต้นทุน สะท้อนอุปสรรคทางเศรษฐกิจในการดูแลสุขภาพอย่างครอบคลุมและผลกระทบต่อสุขภาพที่อาจเกิดขึ้นจากการรักษาที่ล่าช้า,Tracks individuals who foregent medical treatment diagnostic procedures or follow-up care because of cost concerns. This reflects economic barriers to comprehensive healthcare and potential health consequences of delayed treatment.,จำนวนผู้งดรักษาพยาบาลเพราะค่าใช้จ่าย ÷ จำนวนประชากรทั้งหมด × 100,Number of people who skipped medical treatment due to cost ÷ Total population × 100
20,prescribed_medicine_skip_cost,ร้อยละของประชากรที่ต้องงดการรับยาตามใบสั่งแพทย์เนื่องจากค่าใช้จ่าย,Skipped Medicine Purchase (Cost),วัดสัดส่วนของผู้ที่ไม่สามารถซื้อยาตามใบสั่งแพทย์ได้ ตัวชี้วัดนี้เน้นอุปสรรคในการเข้าถึงเภสัชภัณฑ์และความเสี่ยงต่อสุขภาพที่อาจเกิดขึ้นจากการไม่ปฏิบัติตามการใช้ยาเนื่องจากต้นทุน,Captures the proportion of people who could not afford to purchase prescribed medications. This indicator highlights pharmaceutical access barriers and potential health risks from medication non-adherence due to cost.,จำนวนผู้งดซื้อยาตามใบสั่งแพทย์เพราะค่าใช้จ่าย ÷ จำนวนประชากรทั้งหมด × 100,Number of people who skipped prescribed medicine due to cost ÷ Total population × 100
21,dental_access,ร้อยละของประชากรที่ได้รับบริการทันตกรรมเมื่อมีอาการ,Dental Access,วัดการใช้บริการทันตกรรมของประชากรเมื่อมีอาการปวดฟัน ฟันโยก เลือดออกตามไรฟัน การเข้าถึงและได้รับบริการทางทันตกรรมมีความสำคัญสำหรับสุขภาพช่องปาก และการป้องกันภาวะแทรกซ้อนด้านสุขภาพที่ร้ายแรงยิ่งขึ้น,Measures the availability and utilization of dental care services within the population. Adequate dental access is crucial for oral health overall well-being and prevention of more serious health complications.,จำนวนผู้เข้าถึงบริการทันตกรรม ÷ จำนวนประชากรทั้งหมด × 100,Number of people with access to dental care ÷ Total population × 100
22,electricity_access,อัตราส่วนประชากรที่เข้าถึงไฟฟ้า,Electricity Access,แสดงเปอร์เซ็นต์ของประชากรที่มีการเข้าถึงไฟฟ้าที่เชื่อถือได้สำหรับความต้องการของครัวเรือนและชุมชน การเข้าถึงไฟฟ้าเป็นพื้นฐานสำหรับการดำรงชีวิตสมัยใหม่ การศึกษา การส่งมอบการดูแลสุขภาพ และการพัฒนาเศรษฐกิจ,Indicates the percentage of the population with reliable access to electricity for household and community needs. Electricity access is fundamental for modern living education healthcare delivery and economic development.,จำนวนผู้เข้าถึงไฟฟ้า ÷ จำนวนประชากรทั้งหมด × 100,Number of people with access to electricity ÷ Total population × 100
23,clean_water_access,อัตราส่วนประชากรที่ใช้บริการน้ำดื่มที่ได้รับการจัดการอย่างปลอดภัย,Clean Water Access,วัดการเข้าถึงบริการน้ำดื่มที่ได้รับการจัดการอย่างปลอดภัยและปราศจากการปนเปื้อน การเข้าถึงน้ำสะอาดเป็นสิ่งจำเป็นสำหรับสุขภาพ การสุขาภิบาล และการป้องกันโรคที่เกิดจากน้ำ,Measures access to safely managed drinking water services that are free from contamination. Clean water access is essential for health sanitation and prevention of waterborne diseases.,จำนวนผู้เข้าถึงน้ำสะอาด ÷ จำนวนประชากรทั้งหมด × 100,Number of people with access to clean water ÷ Total population × 100
24,sanitation_facilities,อัตราส่วนประชากรที่เข้าถึงบริการสุขาภิบาลขั้นพื้นฐาน,Sanitation Facilities,ติดตามการเข้าถึงบริการสุขาภิบาลขั้นพื้นฐาน รวมถึงระบบกำจัดของเสียที่ได้รับการจัดการอย่างปลอดภัย การสุขาภิบาลที่เพียงพอป้องกันการแพร่กระจายของโรค ปกป้องสุขภาพสิ่งแวดล้อม และรักษามาตรฐานความสะอาดของชุมชน,Tracks access to basic sanitation services including safely managed waste disposal systems. Adequate sanitation prevents disease transmission protects environmental health and maintains community hygiene standards.,จำนวนผู้เข้าถึงบริการสุขาภิบาล ÷ จำนวนประชากรทั้งหมด × 100,Number of people with access to sanitation facilities ÷ Total population × 100
25,waste_management,ร้อยละของขยะมูลฝอยชุมชนที่ได้รับการจัดเก็บและจัดการ,Waste Management,วัดประสิทธิภาพของระบบการเก็บรวบรวมและจัดการขยะมูลฝอยของชุมชน การจัดการขยะที่เหมาะสมป้องกันการปนเปื้อนสิ่งแวดล้อม ลดแหล่งแพร่เชื้อโรค และรักษาความน่าอยู่ของชุมชน,Measures the effectiveness of community solid waste collection and management systems. Proper waste management prevents environmental contamination reduces disease vectors and maintains community livability.,จำนวนผู้ได้รับบริการจัดการขยะ ÷ จำนวนประชากรทั้งหมด × 100,Number of people with waste management services ÷ Total population × 100
26,housing_overcrowding,อัตราส่วนครัวเรือนที่อาศัยอยู่ในที่พักอาศัยที่แออัด,Housing Overcrowding,แสดงสัดส่วนของครัวเรือนที่อาศัยอยู่ในสภาพแออัดโดยมีพื้นที่ไม่เพียงพอต่อคน ความแออัดส่งผลต่อความเป็นส่วนตัว สุขภาพ ผลการศึกษา และคุณภาพชีวิตโดยรวม,Indicates the proportion of households living in overcrowded conditions with insufficient space per person. Overcrowding affects privacy health educational outcomes and overall quality of life.,จำนวนครัวเรือนที่อยู่อาศัยแออัด ÷ จำนวนครัวเรือนทั้งหมด × 100,Number of households living in overcrowded conditions ÷ Total households × 100
27,home_ownership,อัตราส่วนครัวเรือนที่มีที่อยู่อาศัยเป็นของตนเอง,Home Ownership,วัดเปอร์เซ็นต์ของครัวเรือนที่เป็นเจ้าของที่อยู่อาศัยของตนเอง การเป็นเจ้าของบ้านให้ความมั่นคงด้านที่อยู่อาศัย โอกาสการสะสมสินทรัพย์ และความมั่นคงของชุมชนสำหรับครอบครัว,Measures the percentage of households that own their residential property. Home ownership provides housing security asset accumulation opportunities and community stability for families.,จำนวนครัวเรือนที่เป็นเจ้าของบ้าน ÷ จำนวนครัวเรือนทั้งหมด × 100,Number of households owning their homes ÷ Total households × 100
28,disaster_experience,ร้อยละของประชากรที่ได้ผลกระทบจากภัยพิบัติ,Disaster Experience,ติดตามสัดส่วนของประชากรที่ได้รับผลกระทบจากภัยพิบัติธรรมชาติหรือที่มนุษย์สร้างขึ้นภายในกรอบเวลาที่กำหนด ประสบการณ์ภัยพิบัติสะท้อนความเปราะบางของชุมชนและความจำเป็นในการเตรียมความพร้อมและระบบการตอบสนองต่อภัยพิบัติ,Tracks the proportion of the population affected by natural or man-made disasters within a specified timeframe. Disaster experience reflects community vulnerability and the need for disaster preparedness and response systems.,จำนวนผู้ได้รับผลกระทบจากภัยพิบัติ ÷ จำนวนประชากรทั้งหมด × 100,Number of people affected by disasters ÷ Total population × 100
29,community_safety,อัตราส่วนประชากรที่รู้สึกปลอดภัยเมื่อเดินคนเดียวในเวลากลางคืน,Community Safety,วัดเปอร์เซ็นต์ของผู้อยู่อาศัยที่รู้สึกปลอดภัยเมื่อเดินคนเดียวในย่านของตนในช่วงเวลากลางคืน การรับรู้ความปลอดภัยของชุมชนสะท้อนระดับอาชญากรรม ความเหนียวแน่นทางสังคม และประสิทธิภาพของมาตรการรักษาความปลอดภัยสาธารณะ,Measures the percentage of residents who feel safe walking alone in their neighborhood during nighttime hours. Community safety perceptions reflect crime levels social cohesion and the effectiveness of public security measures.,คะแนนความปลอดภัยถ่วงน้ำหนัก (ปลอดภัยมาก=100% ปลอดภัย=75% ปลอดภัยปานกลาง=50% ไม่ปลอดภัย=25%),Weighted safety score (Very safe=100% Safe=75% Moderately safe=50% Unsafe=25%)
30,violence_physical,อัตราส่วนประชากรที่ถูกกระทำความรุนแรงทางร่างกาย,Physical Violence,แสดงสัดส่วนของบุคคลที่ประสบความรุนแรงทางร่างกายหรือการทำร้าย ความรุนแรงทางร่างกายส่งผลต่อความปลอดภัยในทันที สุขภาพระยะยาว และพลวัตทางสังคมของชุมชน,Indicates the proportion of individuals who have experienced physical violence or assault. Physical violence affects immediate safety long-term health and community social dynamics.,จำนวนผู้ถูกกระทำความรุนแรงทางร่างกาย ÷ จำนวนประชากรทั้งหมด × 100,Number of people who experienced physical violence ÷ Total population × 100
31,violence_psychological,อัตราส่วนประชากรที่ถูกกระทำความรุนแรงทางจิตใจ,Psychological Violence,วัดการสัมผัสกับความรุนแรงทางจิตใจ รวมถึงการข่มขู่ การข่มขวัญ หรือการทารุณกรรมทางอารมณ์ ความรุนแรงทางจิตใจส่งผลต่อสุขภาพจิต การทำงานทางสังคม และความเป็นอยู่ที่ดีโดยรวมของบุคคลที่ได้รับผลกระทบ,Measures exposure to psychological violence including threats intimidation or emotional abuse. Psychological violence impacts mental health social functioning and overall well-being of affected individuals.,จำนวนผู้ถูกกระทำความรุนแรงทางจิตใจ ÷ จำนวนประชากรทั้งหมด × 100,Number of people who experienced psychological violence ÷ Total population × 100
32,violence_sexual,อัตราส่วนประชากรที่ถูกกระทำความรุนแรงทางเพศ,Sexual Violence,ติดตามอุบัติการณ์ของความรุนแรงทางเพศหรือการล่วงละเมิดภายในประชากร ความรุนแรงทางเพศแสดงถึงการละเมิดความปลอดภัยส่วนบุคคลอย่างร้ายแรงและมีผลกระทบอย่างลึกซึ้งต่อสุขภาพของบุคคลและชุมชน,Tracks the incidence of sexual violence or harassment within the population. Sexual violence represents serious violations of personal safety and has profound impacts on individual and community health.,จำนวนผู้ถูกกระทำความรุนแรงทางเพศ ÷ จำนวนประชากรทั้งหมด × 100,Number of people who experienced sexual violence ÷ Total population × 100
33,discrimination_experience,อัตราส่วนประชากรที่รายงานว่าเคยถูกเลือกปฏิบัติ,Discrimination Experience,วัดสัดส่วนของบุคคลที่รายงานประสบการณ์ของการปฏิบัติที่ไม่ยุติธรรมตามลักษณะส่วนบุคคล การเลือกปฏิบัติบ่อนทำลายความเหนียวแน่นทางสังคม โอกาสที่เท่าเทียม และศักดิ์ศรีของบุคคลภายในชุมชน,Captures the proportion of individuals reporting experiences of unfair treatment based on personal characteristics. Discrimination undermines social cohesion equal opportunity and individual dignity within communities.,จำนวนผู้ถูกเลือกปฏิบัติ ÷ จำนวนประชากรทั้งหมด × 100,Number of people who experienced discrimination ÷ Total population × 100
34,social_support,อัตราส่วนประชากรที่รายงานว่ามีบุคคลที่สามารถพึ่งพาได้ในยามฉุกเฉิน,Social Support,วัดความพร้อมใช้งานของเครือข่ายทางสังคมและระบบสนับสนุนที่เชื่อถือได้ในช่วงเวลาฉุกเฉินหรือความต้องการ การสนับสนุนทางสังคมที่แข็งแกร่งเพิ่มความยืดหยุ่น สุขภาพจิต และความเป็นน้ำหนึ่งใจเดียวกันของชุมชน,Measures the availability of reliable social networks and support systems during times of emergency or need. Strong social support enhances resilience mental health and community solidarity.,จำนวนผู้มีเครือข่ายสนับสนุนทางสังคม ÷ จำนวนประชากรทั้งหมด × 100,Number of people with social support networks ÷ Total population × 100
35,community_murder,เหตุความรุนแรงในชุมชน,Community Violence,ติดตามเหตุการณ์การฆาตกรรมและอาชญากรรมรุนแรงร้ายแรงภายในชุมชน ระดับความรุนแรงของชุมชนสะท้อนสภาพความปลอดภัยสาธารณะและประสิทธิภาพของมาตรการป้องกันอาชญากรรม,Tracks incidents of homicide and serious violent crimes within the community. Community violence levels reflect public safety conditions and the effectiveness of crime prevention measures.,จำนวนเหตุความรุนแรงในชุมชน ÷ จำนวนประชากรทั้งหมด × 100,Number of community violence incidents ÷ Total population × 100
36,alcohol_consumption,อัตราการบริโภคแอลกอฮอล์,Alcohol Consumption,วัดความชุกของรูปแบบการบริโภคแอลกอฮอล์ที่อาจก่อให้เกิดความเสี่ยงต่อสุขภาพ การดื่มแอลกอฮอล์มากเกินไปก่อให้เกิดปัญหาสุขภาพ ปัญหาสังคม และต้นทุนทางเศรษฐกิจต่างๆ ภายในชุมชน,Measures the prevalence of alcohol consumption patterns that may pose health risks. Excessive alcohol use contributes to various health problems social issues and economic costs within communities.,จำนวนผู้บริโภคแอลกอฮอล์ ÷ จำนวนประชากรทั้งหมด × 100,Number of alcohol consumers ÷ Total population × 100
37,tobacco_use,อัตราการใช้บุหรี่และบุหรี่ไฟฟ้า,Tobacco Use,ติดตามเปอร์เซ็นต์ของบุคคลที่ใช้ผลิตภัณฑ์ยาสูบ รวมถึงบุหรี่และบุหรี่อิเล็กทรอนิกส์ การใช้ยาสูบเป็นสาเหตุหลักที่ป้องกันได้ของการเจ็บป่วย ความพิการ และการเสียชีวิตก่อนวัยอันควร,Tracks the percentage of individuals using tobacco products including cigarettes and electronic cigarettes. Tobacco use is a leading preventable cause of disease disability and premature death.,จำนวนผู้ใช้ยาสูบ ÷ จำนวนประชากรอายุ 15 ปีขึ้นไป × 100,Number of tobacco users ÷ Population aged 15+ × 100
38,physical_activity,อัตราส่วนประชากรที่มีกิจกรรมทางกายเพียงพอ,Physical Activity,แสดงสัดส่วนของประชากรที่รับการออกกำลังกายตามระดับที่แนะนำสำหรับการรักษาสุขภาพ การออกกำลังกายไม่เพียงพอเพิ่มความเสี่ยงของโรคเรื้อรังและลดคุณภาพชีวิตโดยรวม,Indicates the proportion of the population meeting recommended levels of physical activity for health maintenance. Insufficient physical activity increases risks of chronic diseases and reduces overall quality of life.,จำนวนผู้ออกกำลังกายเพียงพอ ÷ จำนวนประชากรทั้งหมด × 100,Number of people with sufficient physical activity ÷ Total population × 100
39,obesity,อัตราส่วนประชากรที่มีภาวะน้ำหนักเกิน,Obesity,วัดเปอร์เซ็นต์ของบุคคลที่มีดัชนีมวลกายบ่งชี้ความอ้วน (BMI ≥30) ความอ้วนเพิ่มความเสี่ยงของโรคเบาหวาน โรคหัวใจและหลอดเลือด และภาวะสุขภาพร้ายแรงอื่นๆ,Measures the percentage of individuals with body mass index indicating obesity (BMI ≥30). Obesity increases the risk of diabetes cardiovascular disease and other serious health conditions.,จำนวนผู้ที่มีค่าดัชนีมวลกาย ≥ 30 ÷ จำนวนประชากรทั้งหมด × 100,Number of people with BMI ≥ 30 ÷ Total population × 100
40,any_chronic_disease,อัตราส่วนผู้ป่วยโรคไม่ติดต่อเรื้อรัง,Any Chronic Disease,วัดสัดส่วนของประชากรที่มีโรคเรื้อรังไม่ติดต่อ ความชุกของโรคเรื้อรังสะท้อนถึงปัจจัยเสี่ยงต่างๆ ในชุมชนและคุณภาพของระบบสาธารณสุข,Indicates the overall burden of non-communicable chronic diseases within the population. Chronic disease prevalence reflects the cumulative impact of various risk factors and healthcare system effectiveness.,จำนวนผู้ป่วยโรคเรื้อรัง ÷ จำนวนประชากรทั้งหมด × 100,Number of people with chronic diseases ÷ Total population × 100
