district_a,district_b,population_group,n_a,n_b,proportion_a,proportion_b,difference,test_used,chi2_statistic,p_value,statistically_significant,cohens_h,effect_size,interpretation
1001,1034,elderly,108,116,59.3,73.3,-14.0,Chi-Square,4.324,0.0376,Yes,-0.298,Medium,Statistically significant with moderate practical difference
1001,1035,elderly,108,125,59.3,53.6,5.7,Chi-Square,0.542,0.4618,No,0.114,Small,No statistically significant difference detected
1001,1036,elderly,108,136,59.3,38.2,21.0,Chi-Square,9.842,0.0017,Yes,0.424,Medium,Statistically significant with moderate practical difference
1001,1037,elderly,108,145,59.3,37.9,21.3,Chi-Square,10.462,0.0012,Yes,0.43,Medium,Statistically significant with moderate practical difference
1001,1038,elderly,108,176,59.3,50.6,8.7,Chi-Square,1.7,0.1923,No,0.175,Small,No statistically significant difference detected
1001,1039,elderly,108,147,59.3,29.3,30.0,Chi-Square,21.804,0.0,Yes,0.614,Large,Statistically significant with large practical difference
1001,1040,elderly,108,131,59.3,35.9,23.4,Chi-Square,12.088,0.0005,Yes,0.473,Medium,Statistically significant with moderate practical difference
1001,1041,elderly,108,124,59.3,57.3,2.0,Chi-Square,0.031,0.8612,No,0.041,Small,No statistically significant difference detected
1001,1042,elderly,108,112,59.3,62.5,-3.2,Chi-Square,0.126,0.7231,No,-0.066,Small,No statistically significant difference detected
1001,1043,elderly,108,126,59.3,48.4,10.8,Chi-Square,2.331,0.1268,No,0.218,Medium,No statistically significant difference detected
1001,1044,elderly,108,131,59.3,32.8,26.4,Chi-Square,15.678,0.0001,Yes,0.537,Large,Statistically significant with large practical difference
1001,1045,elderly,108,151,59.3,59.6,-0.3,Chi-Square,,1.0,No,-0.007,Small,No statistically significant difference detected
1001,1046,elderly,108,122,59.3,43.4,15.8,Chi-Square,5.119,0.0237,Yes,0.318,Medium,Statistically significant with moderate practical difference
1001,1047,elderly,108,129,59.3,46.5,12.7,Chi-Square,3.335,0.0678,No,0.256,Medium,No statistically significant difference detected
1001,1048,elderly,108,123,59.3,49.6,9.7,Chi-Square,1.792,0.1807,No,0.194,Small,No statistically significant difference detected
1001,1049,elderly,108,148,59.3,44.6,14.7,Chi-Square,4.802,0.0284,Yes,0.295,Medium,Statistically significant with moderate practical difference
1001,1050,elderly,108,126,59.3,30.2,29.1,Chi-Square,18.862,0.0,Yes,0.594,Large,Statistically significant with large practical difference
1002,1003,elderly,129,127,48.1,47.2,0.8,Chi-Square,0.0,0.9953,No,0.016,Small,No statistically significant difference detected
1002,1004,elderly,129,153,48.1,37.3,10.8,Chi-Square,2.923,0.0873,No,0.219,Medium,No statistically significant difference detected
1002,1005,elderly,129,126,48.1,45.2,2.8,Chi-Square,0.107,0.7441,No,0.057,Small,No statistically significant difference detected
1002,1006,elderly,129,129,48.1,41.1,7.0,Chi-Square,1.004,0.3163,No,0.14,Small,No statistically significant difference detected
1002,1007,elderly,129,131,48.1,35.9,12.2,Chi-Square,3.478,0.0622,No,0.248,Medium,No statistically significant difference detected
1002,1008,elderly,129,146,48.1,41.8,6.3,Chi-Square,0.854,0.3555,No,0.126,Small,No statistically significant difference detected
1002,1009,elderly,129,222,48.1,50.0,-1.9,Chi-Square,0.057,0.8108,No,-0.039,Small,No statistically significant difference detected
1002,1010,elderly,129,124,48.1,62.9,-14.8,Chi-Square,5.05,0.0246,Yes,-0.3,Medium,Statistically significant with moderate practical difference
1002,1011,elderly,129,124,48.1,36.3,11.8,Chi-Square,3.124,0.0772,No,0.239,Medium,No statistically significant difference detected
1002,1012,elderly,129,125,48.1,43.2,4.9,Chi-Square,0.425,0.5146,No,0.098,Small,No statistically significant difference detected
1002,1013,elderly,129,107,48.1,43.0,5.1,Chi-Square,0.419,0.5175,No,0.102,Small,No statistically significant difference detected
1002,1014,elderly,129,129,48.1,55.0,-7.0,Chi-Square,0.993,0.319,No,-0.14,Small,No statistically significant difference detected
1002,1015,elderly,129,85,48.1,24.7,23.4,Chi-Square,10.809,0.001,Yes,0.492,Medium,Statistically significant with moderate practical difference
1002,1016,elderly,129,110,48.1,62.7,-14.7,Chi-Square,4.58,0.0323,Yes,-0.296,Medium,Statistically significant with moderate practical difference
1002,1017,elderly,129,135,48.1,51.9,-3.8,Chi-Square,0.243,0.6224,No,-0.076,Small,No statistically significant difference detected
1002,1018,elderly,129,125,48.1,41.6,6.5,Chi-Square,0.826,0.3633,No,0.13,Small,No statistically significant difference detected
1002,1019,elderly,129,153,48.1,28.1,20.0,Chi-Square,11.09,0.0009,Yes,0.415,Medium,Statistically significant with moderate practical difference
1002,1020,elderly,129,119,48.1,48.7,-0.7,Chi-Square,,1.0,No,-0.014,Small,No statistically significant difference detected
1002,1021,elderly,129,125,48.1,47.2,0.9,Chi-Square,0.0,0.9905,No,0.017,Small,No statistically significant difference detected
1002,1022,elderly,129,126,48.1,41.3,6.8,Chi-Square,0.931,0.3347,No,0.137,Small,No statistically significant difference detected
1002,1023,elderly,129,114,48.1,57.0,-9.0,Chi-Square,1.603,0.2055,No,-0.18,Small,No statistically significant difference detected
1002,1024,elderly,129,123,48.1,52.8,-4.8,Chi-Square,0.401,0.5266,No,-0.096,Small,No statistically significant difference detected
1002,1025,elderly,129,136,48.1,50.0,-1.9,Chi-Square,0.037,0.8473,No,-0.039,Small,No statistically significant difference detected
1002,1026,elderly,129,125,48.1,50.4,-2.3,Chi-Square,0.061,0.8048,No,-0.047,Small,No statistically significant difference detected
1002,1027,elderly,129,118,48.1,31.4,16.7,Chi-Square,6.483,0.0109,Yes,0.343,Medium,Statistically significant with moderate practical difference
1002,1028,elderly,129,153,48.1,42.5,5.6,Chi-Square,0.669,0.4134,No,0.112,Small,No statistically significant difference detected
1002,1029,elderly,129,124,48.1,59.7,-11.6,Chi-Square,2.98,0.0843,No,-0.234,Medium,No statistically significant difference detected
1002,1030,elderly,129,134,48.1,52.2,-4.2,Chi-Square,0.307,0.5797,No,-0.084,Small,No statistically significant difference detected
1002,1031,elderly,129,124,48.1,37.9,10.2,Chi-Square,2.263,0.1325,No,0.206,Medium,No statistically significant difference detected
1002,1032,elderly,129,125,48.1,31.2,16.9,Chi-Square,6.848,0.0089,Yes,0.347,Medium,Statistically significant with moderate practical difference
1002,1033,elderly,129,121,48.1,43.0,5.1,Chi-Square,0.462,0.4965,No,0.102,Small,No statistically significant difference detected
1002,1034,elderly,129,116,48.1,73.3,-25.2,Chi-Square,15.145,0.0001,Yes,-0.523,Large,Statistically significant with large practical difference
1002,1035,elderly,129,125,48.1,53.6,-5.5,Chi-Square,0.573,0.449,No,-0.111,Small,No statistically significant difference detected
1002,1036,elderly,129,136,48.1,38.2,9.8,Chi-Square,2.223,0.136,No,0.199,Small,No statistically significant difference detected
1002,1037,elderly,129,145,48.1,37.9,10.1,Chi-Square,2.465,0.1164,No,0.205,Medium,No statistically significant difference detected
1002,1038,elderly,129,176,48.1,50.6,-2.5,Chi-Square,0.1,0.7516,No,-0.05,Small,No statistically significant difference detected
1002,1039,elderly,129,147,48.1,29.3,18.8,Chi-Square,9.531,0.002,Yes,0.389,Medium,Statistically significant with moderate practical difference
1002,1040,elderly,129,131,48.1,35.9,12.2,Chi-Square,3.478,0.0622,No,0.248,Medium,No statistically significant difference detected
1002,1041,elderly,129,124,48.1,57.3,-9.2,Chi-Square,1.791,0.1808,No,-0.184,Small,No statistically significant difference detected
1002,1042,elderly,129,112,48.1,62.5,-14.4,Chi-Square,4.479,0.0343,Yes,-0.291,Medium,Statistically significant with moderate practical difference
1002,1043,elderly,129,126,48.1,48.4,-0.4,Chi-Square,,1.0,No,-0.007,Small,No statistically significant difference detected
1002,1044,elderly,129,131,48.1,32.8,15.2,Chi-Square,5.651,0.0174,Yes,0.312,Medium,Statistically significant with moderate practical difference
1002,1045,elderly,129,151,48.1,59.6,-11.5,Chi-Square,3.283,0.07,No,-0.232,Medium,No statistically significant difference detected
1002,1046,elderly,129,122,48.1,43.4,4.6,Chi-Square,0.369,0.5436,No,0.093,Small,No statistically significant difference detected
1002,1047,elderly,129,129,48.1,46.5,1.6,Chi-Square,0.016,0.9008,No,0.031,Small,No statistically significant difference detected
1002,1048,elderly,129,123,48.1,49.6,-1.5,Chi-Square,0.014,0.9068,No,-0.031,Small,No statistically significant difference detected
1002,1049,elderly,129,148,48.1,44.6,3.5,Chi-Square,0.208,0.648,No,0.07,Small,No statistically significant difference detected
1002,1050,elderly,129,126,48.1,30.2,17.9,Chi-Square,7.836,0.0051,Yes,0.369,Medium,Statistically significant with moderate practical difference
1003,1004,elderly,127,153,47.2,37.3,10.0,Chi-Square,2.451,0.1175,No,0.203,Medium,No statistically significant difference detected
1003,1005,elderly,127,126,47.2,45.2,2.0,Chi-Square,0.038,0.8463,No,0.04,Small,No statistically significant difference detected
1003,1006,elderly,127,129,47.2,41.1,6.2,Chi-Square,0.751,0.3863,No,0.124,Small,No statistically significant difference detected
1003,1007,elderly,127,131,47.2,35.9,11.4,Chi-Square,2.98,0.0843,No,0.231,Medium,No statistically significant difference detected
1003,1008,elderly,127,146,47.2,41.8,5.5,Chi-Square,0.615,0.4329,No,0.11,Small,No statistically significant difference detected
1003,1009,elderly,127,222,47.2,50.0,-2.8,Chi-Square,0.148,0.7008,No,-0.055,Small,No statistically significant difference detected
1003,1010,elderly,127,124,47.2,62.9,-15.7,Chi-Square,5.599,0.018,Yes,-0.316,Medium,Statistically significant with moderate practical difference
1003,1011,elderly,127,124,47.2,36.3,11.0,Chi-Square,2.66,0.1029,No,0.223,Medium,No statistically significant difference detected
1003,1012,elderly,127,125,47.2,43.2,4.0,Chi-Square,0.269,0.6042,No,0.081,Small,No statistically significant difference detected
1003,1013,elderly,127,107,47.2,43.0,4.3,Chi-Square,0.27,0.6035,No,0.086,Small,No statistically significant difference detected
1003,1014,elderly,127,129,47.2,55.0,-7.8,Chi-Square,1.26,0.2617,No,-0.156,Small,No statistically significant difference detected
1003,1015,elderly,127,85,47.2,24.7,22.5,Chi-Square,10.022,0.0015,Yes,0.475,Medium,Statistically significant with moderate practical difference
1003,1016,elderly,127,110,47.2,62.7,-15.5,Chi-Square,5.09,0.0241,Yes,-0.313,Medium,Statistically significant with moderate practical difference
1003,1017,elderly,127,135,47.2,51.9,-4.6,Chi-Square,0.387,0.534,No,-0.092,Small,No statistically significant difference detected
1003,1018,elderly,127,125,47.2,41.6,5.6,Chi-Square,0.6,0.4385,No,0.114,Small,No statistically significant difference detected
1003,1019,elderly,127,153,47.2,28.1,19.1,Chi-Square,10.125,0.0015,Yes,0.398,Medium,Statistically significant with moderate practical difference
1003,1020,elderly,127,119,47.2,48.7,-1.5,Chi-Square,0.011,0.9148,No,-0.03,Small,No statistically significant difference detected
1003,1021,elderly,127,125,47.2,47.2,0.0,Chi-Square,,1.0,No,0.001,Small,No statistically significant difference detected
1003,1022,elderly,127,126,47.2,41.3,6.0,Chi-Square,0.689,0.4065,No,0.12,Small,No statistically significant difference detected
1003,1023,elderly,127,114,47.2,57.0,-9.8,Chi-Square,1.924,0.1654,No,-0.196,Small,No statistically significant difference detected
1003,1024,elderly,127,123,47.2,52.8,-5.6,Chi-Square,0.576,0.4478,No,-0.112,Small,No statistically significant difference detected
1003,1025,elderly,127,136,47.2,50.0,-2.8,Chi-Square,0.105,0.7464,No,-0.055,Small,No statistically significant difference detected
1003,1026,elderly,127,125,47.2,50.4,-3.2,Chi-Square,0.141,0.7076,No,-0.063,Small,No statistically significant difference detected
1003,1027,elderly,127,118,47.2,31.4,15.9,Chi-Square,5.809,0.0159,Yes,0.327,Medium,Statistically significant with moderate practical difference
1003,1028,elderly,127,153,47.2,42.5,4.8,Chi-Square,0.458,0.4984,No,0.096,Small,No statistically significant difference detected
1003,1029,elderly,127,124,47.2,59.7,-12.4,Chi-Square,3.414,0.0647,No,-0.25,Medium,No statistically significant difference detected
1003,1030,elderly,127,134,47.2,52.2,-5.0,Chi-Square,0.466,0.4947,No,-0.1,Small,No statistically significant difference detected
1003,1031,elderly,127,124,47.2,37.9,9.3,Chi-Square,1.873,0.1712,No,0.189,Small,No statistically significant difference detected
1003,1032,elderly,127,125,47.2,31.2,16.0,Chi-Square,6.143,0.0132,Yes,0.33,Medium,Statistically significant with moderate practical difference
1003,1033,elderly,127,121,47.2,43.0,4.3,Chi-Square,0.3,0.584,No,0.086,Small,No statistically significant difference detected
1003,1034,elderly,127,116,47.2,73.3,-26.0,Chi-Square,16.007,0.0001,Yes,-0.539,Large,Statistically significant with large practical difference
1003,1035,elderly,127,125,47.2,53.6,-6.4,Chi-Square,0.78,0.3773,No,-0.127,Small,No statistically significant difference detected
1003,1036,elderly,127,136,47.2,38.2,9.0,Chi-Square,1.827,0.1765,No,0.182,Small,No statistically significant difference detected
1003,1037,elderly,127,145,47.2,37.9,9.3,Chi-Square,2.04,0.1532,No,0.189,Small,No statistically significant difference detected
1003,1038,elderly,127,176,47.2,50.6,-3.3,Chi-Square,0.207,0.6494,No,-0.067,Small,No statistically significant difference detected
1003,1039,elderly,127,147,47.2,29.3,18.0,Chi-Square,8.651,0.0033,Yes,0.373,Medium,Statistically significant with moderate practical difference
1003,1040,elderly,127,131,47.2,35.9,11.4,Chi-Square,2.98,0.0843,No,0.231,Medium,No statistically significant difference detected
1003,1041,elderly,127,124,47.2,57.3,-10.0,Chi-Square,2.136,0.1439,No,-0.201,Medium,No statistically significant difference detected
1003,1042,elderly,127,112,47.2,62.5,-15.3,Chi-Square,4.986,0.0256,Yes,-0.308,Medium,Statistically significant with moderate practical difference
1003,1043,elderly,127,126,47.2,48.4,-1.2,Chi-Square,0.004,0.952,No,-0.023,Small,No statistically significant difference detected
1003,1044,elderly,127,131,47.2,32.8,14.4,Chi-Square,5.005,0.0253,Yes,0.296,Medium,Statistically significant with moderate practical difference
1003,1045,elderly,127,151,47.2,59.6,-12.4,Chi-Square,3.758,0.0526,No,-0.248,Medium,No statistically significant difference detected
1003,1046,elderly,127,122,47.2,43.4,3.8,Chi-Square,0.226,0.6348,No,0.076,Small,No statistically significant difference detected
1003,1047,elderly,127,129,47.2,46.5,0.7,Chi-Square,,1.0,No,0.015,Small,No statistically significant difference detected
1003,1048,elderly,127,123,47.2,49.6,-2.3,Chi-Square,0.06,0.8064,No,-0.047,Small,No statistically significant difference detected
1003,1049,elderly,127,148,47.2,44.6,2.6,Chi-Square,0.101,0.7503,No,0.053,Small,No statistically significant difference detected
1003,1050,elderly,127,126,47.2,30.2,17.1,Chi-Square,7.077,0.0078,Yes,0.353,Medium,Statistically significant with moderate practical difference
1004,1005,elderly,153,126,37.3,45.2,-8.0,Chi-Square,1.507,0.2196,No,-0.162,Small,No statistically significant difference detected
1004,1006,elderly,153,129,37.3,41.1,-3.8,Chi-Square,0.286,0.593,No,-0.078,Small,No statistically significant difference detected
1004,1007,elderly,153,131,37.3,35.9,1.4,Chi-Square,0.014,0.9072,No,0.029,Small,No statistically significant difference detected
1004,1008,elderly,153,146,37.3,41.8,-4.5,Chi-Square,0.465,0.4952,No,-0.093,Small,No statistically significant difference detected
1004,1009,elderly,153,222,37.3,50.0,-12.7,Chi-Square,5.445,0.0196,Yes,-0.258,Medium,Statistically significant with moderate practical difference
1004,1010,elderly,153,124,37.3,62.9,-25.6,Chi-Square,17.022,0.0,Yes,-0.519,Large,Statistically significant with large practical difference
1004,1011,elderly,153,124,37.3,36.3,1.0,Chi-Square,0.002,0.9679,No,0.02,Small,No statistically significant difference detected
1004,1012,elderly,153,125,37.3,43.2,-5.9,Chi-Square,0.781,0.3768,No,-0.121,Small,No statistically significant difference detected
1004,1013,elderly,153,107,37.3,43.0,-5.7,Chi-Square,0.643,0.4227,No,-0.117,Small,No statistically significant difference detected
1004,1014,elderly,153,129,37.3,55.0,-17.8,Chi-Square,8.227,0.0041,Yes,-0.359,Medium,Statistically significant with moderate practical difference
1004,1015,elderly,153,85,37.3,24.7,12.5,Chi-Square,3.357,0.0669,No,0.273,Medium,No statistically significant difference detected
1004,1016,elderly,153,110,37.3,62.7,-25.5,Chi-Square,15.632,0.0001,Yes,-0.515,Large,Statistically significant with large practical difference
1004,1017,elderly,153,135,37.3,51.9,-14.6,Chi-Square,5.621,0.0177,Yes,-0.295,Medium,Statistically significant with moderate practical difference
1004,1018,elderly,153,125,37.3,41.6,-4.3,Chi-Square,0.378,0.5387,No,-0.089,Small,No statistically significant difference detected
1004,1019,elderly,153,153,37.3,28.1,9.2,Chi-Square,2.51,0.1131,No,0.196,Small,No statistically significant difference detected
1004,1020,elderly,153,119,37.3,48.7,-11.5,Chi-Square,3.162,0.0753,No,-0.233,Medium,No statistically significant difference detected
1004,1021,elderly,153,125,37.3,47.2,-9.9,Chi-Square,2.404,0.121,No,-0.202,Medium,No statistically significant difference detected
1004,1022,elderly,153,126,37.3,41.3,-4.0,Chi-Square,0.314,0.575,No,-0.082,Small,No statistically significant difference detected
1004,1023,elderly,153,114,37.3,57.0,-19.8,Chi-Square,9.501,0.0021,Yes,-0.399,Medium,Statistically significant with moderate practical difference
1004,1024,elderly,153,123,37.3,52.8,-15.6,Chi-Square,6.102,0.0135,Yes,-0.315,Medium,Statistically significant with moderate practical difference
1004,1025,elderly,153,136,37.3,50.0,-12.7,Chi-Square,4.26,0.039,Yes,-0.258,Medium,Statistically significant with moderate practical difference
1004,1026,elderly,153,125,37.3,50.4,-13.1,Chi-Square,4.324,0.0376,Yes,-0.266,Medium,Statistically significant with moderate practical difference
1004,1027,elderly,153,118,37.3,31.4,5.9,Chi-Square,0.779,0.3773,No,0.124,Small,No statistically significant difference detected
1004,1028,elderly,153,153,37.3,42.5,-5.2,Chi-Square,0.668,0.4138,No,-0.107,Small,No statistically significant difference detected
1004,1029,elderly,153,124,37.3,59.7,-22.4,Chi-Square,12.93,0.0003,Yes,-0.453,Medium,Statistically significant with moderate practical difference
1004,1030,elderly,153,134,37.3,52.2,-15.0,Chi-Square,5.908,0.0151,Yes,-0.303,Medium,Statistically significant with moderate practical difference
1004,1031,elderly,153,124,37.3,37.9,-0.6,Chi-Square,,1.0,No,-0.013,Small,No statistically significant difference detected
1004,1032,elderly,153,125,37.3,31.2,6.1,Chi-Square,0.864,0.3527,No,0.128,Small,No statistically significant difference detected
1004,1033,elderly,153,121,37.3,43.0,-5.7,Chi-Square,0.7,0.4029,No,-0.117,Small,No statistically significant difference detected
1004,1034,elderly,153,116,37.3,73.3,-36.0,Chi-Square,32.919,0.0,Yes,-0.742,Large,Statistically significant with large practical difference
1004,1035,elderly,153,125,37.3,53.6,-16.3,Chi-Square,6.792,0.0092,Yes,-0.33,Medium,Statistically significant with moderate practical difference
1004,1036,elderly,153,136,37.3,38.2,-1.0,Chi-Square,0.003,0.9601,No,-0.02,Small,No statistically significant difference detected
1004,1037,elderly,153,145,37.3,37.9,-0.7,Chi-Square,0.0,0.9994,No,-0.014,Small,No statistically significant difference detected
1004,1038,elderly,153,176,37.3,50.6,-13.3,Chi-Square,5.35,0.0207,Yes,-0.269,Medium,Statistically significant with moderate practical difference
1004,1039,elderly,153,147,37.3,29.3,8.0,Chi-Square,1.816,0.1778,No,0.17,Small,No statistically significant difference detected
1004,1040,elderly,153,131,37.3,35.9,1.4,Chi-Square,0.014,0.9072,No,0.029,Small,No statistically significant difference detected
1004,1041,elderly,153,124,37.3,57.3,-20.0,Chi-Square,10.235,0.0014,Yes,-0.403,Medium,Statistically significant with moderate practical difference
1004,1042,elderly,153,112,37.3,62.5,-25.2,Chi-Square,15.517,0.0001,Yes,-0.51,Large,Statistically significant with large practical difference
1004,1043,elderly,153,126,37.3,48.4,-11.2,Chi-Square,3.082,0.0791,No,-0.226,Medium,No statistically significant difference detected
1004,1044,elderly,153,131,37.3,32.8,4.4,Chi-Square,0.429,0.5127,No,0.093,Small,No statistically significant difference detected
1004,1045,elderly,153,151,37.3,59.6,-22.3,Chi-Square,14.317,0.0002,Yes,-0.451,Medium,Statistically significant with moderate practical difference
1004,1046,elderly,153,122,37.3,43.4,-6.2,Chi-Square,0.84,0.3593,No,-0.126,Small,No statistically significant difference detected
1004,1047,elderly,153,129,37.3,46.5,-9.3,Chi-Square,2.104,0.1469,No,-0.188,Small,No statistically significant difference detected
1004,1048,elderly,153,123,37.3,49.6,-12.3,Chi-Square,3.752,0.0527,No,-0.25,Medium,No statistically significant difference detected
1004,1049,elderly,153,148,37.3,44.6,-7.3,Chi-Square,1.387,0.2389,No,-0.149,Small,No statistically significant difference detected
1004,1050,elderly,153,126,37.3,30.2,7.1,Chi-Square,1.25,0.2636,No,0.15,Small,No statistically significant difference detected
1005,1006,elderly,126,129,45.2,41.1,4.2,Chi-Square,0.295,0.5871,No,0.084,Small,No statistically significant difference detected
1005,1007,elderly,126,131,45.2,35.9,9.4,Chi-Square,1.963,0.1612,No,0.191,Small,No statistically significant difference detected
1005,1008,elderly,126,146,45.2,41.8,3.5,Chi-Square,0.203,0.652,No,0.07,Small,No statistically significant difference detected
1005,1009,elderly,126,222,45.2,50.0,-4.8,Chi-Square,0.552,0.4576,No,-0.095,Small,No statistically significant difference detected
1005,1010,elderly,126,124,45.2,62.9,-17.7,Chi-Square,7.156,0.0075,Yes,-0.356,Medium,Statistically significant with moderate practical difference
1005,1011,elderly,126,124,45.2,36.3,8.9,Chi-Square,1.718,0.19,No,0.182,Small,No statistically significant difference detected
1005,1012,elderly,126,125,45.2,43.2,2.0,Chi-Square,0.039,0.8431,No,0.041,Small,No statistically significant difference detected
1005,1013,elderly,126,107,45.2,43.0,2.2,Chi-Square,0.045,0.8322,No,0.045,Small,No statistically significant difference detected
1005,1014,elderly,126,129,45.2,55.0,-9.8,Chi-Square,2.073,0.15,No,-0.196,Small,No statistically significant difference detected
1005,1015,elderly,126,85,45.2,24.7,20.5,Chi-Square,8.323,0.0039,Yes,0.435,Medium,Statistically significant with moderate practical difference
1005,1016,elderly,126,110,45.2,62.7,-17.5,Chi-Square,6.533,0.0106,Yes,-0.353,Medium,Statistically significant with moderate practical difference
1005,1017,elderly,126,135,45.2,51.9,-6.6,Chi-Square,0.892,0.345,No,-0.132,Small,No statistically significant difference detected
1005,1018,elderly,126,125,45.2,41.6,3.6,Chi-Square,0.206,0.6498,No,0.073,Small,No statistically significant difference detected
1005,1019,elderly,126,153,45.2,28.1,17.1,Chi-Square,8.091,0.0044,Yes,0.358,Medium,Statistically significant with moderate practical difference
1005,1020,elderly,126,119,45.2,48.7,-3.5,Chi-Square,0.177,0.6739,No,-0.07,Small,No statistically significant difference detected
1005,1021,elderly,126,125,45.2,47.2,-2.0,Chi-Square,0.034,0.8531,No,-0.039,Small,No statistically significant difference detected
1005,1022,elderly,126,126,45.2,41.3,4.0,Chi-Square,0.259,0.611,No,0.08,Small,No statistically significant difference detected
1005,1023,elderly,126,114,45.2,57.0,-11.8,Chi-Square,2.868,0.0903,No,-0.236,Medium,No statistically significant difference detected
1005,1024,elderly,126,123,45.2,52.8,-7.6,Chi-Square,1.153,0.2829,No,-0.152,Small,No statistically significant difference detected
1005,1025,elderly,126,136,45.2,50.0,-4.8,Chi-Square,0.419,0.5175,No,-0.095,Small,No statistically significant difference detected
1005,1026,elderly,126,125,45.2,50.4,-5.2,Chi-Square,0.479,0.4888,No,-0.103,Small,No statistically significant difference detected
1005,1027,elderly,126,118,45.2,31.4,13.9,Chi-Square,4.39,0.0362,Yes,0.287,Medium,Statistically significant with moderate practical difference
1005,1028,elderly,126,153,45.2,42.5,2.8,Chi-Square,0.116,0.7336,No,0.056,Small,No statistically significant difference detected
