group1,group2,n1,n2,mean1,mean2,std1,std2,difference,test,statistic,p_value,cohens_d,significant,domain,indicator,cohens_h
Top 5 Districts,Bottom 5 Districts,484,489,0.01652892561983471,0.016359918200409,,,0.0001690074194257117,Chi-Square,0.0,1.0,,False,Chronic Diseases,cancer,0.0013289187537184888
Top 5 Districts,Bottom 5 Districts,662,633,0.17371601208459214,0.15955766192733017,,,0.014158350157261967,Chi-Square,0.37042904114206565,0.5427704968108349,,False,Healthcare Access,skipped_medical_no_money,0.0380013377733861
Top 5 Districts,Bottom 5 Districts,662,633,0.15709969788519637,0.1674565560821485,,,-0.010356858196952118,Chi-Square,0.18492688063758175,0.6671729053014632,,False,Healthcare Access,skipped_medical_no_time,-0.028093014567203922
Top 5 Districts,Bottom 5 Districts,662,633,0.13595166163141995,0.15165876777251186,,,-0.015707106141091914,Chi-Square,0.5276328747888057,0.4676037516574284,,False,Healthcare Access,skipped_medical_fear,-0.04477865965137939
Top 5 Districts,Bottom 5 Districts,662,633,0.7900302114803626,0.7914691943127962,,,-0.0014389828324335996,Chi-Square,0.0,1.0,,False,Healthcare Access,poor_oral_health,-0.0035375584627095336
Top 5 Districts,Bottom 5 Districts,662,633,0.06042296072507553,0.07109004739336493,,,-0.010667086668289395,Chi-Square,0.4390346132152838,0.507588774824004,,False,Healthcare Access,no_oral_health_access,-0.0430714448582889
Top 5 Districts,Bottom 5 Districts,648,621,2.425925925925926,2.6457326892109503,0.7484599793695339,0.5736993587552138,-0.21980676328502424,t-test,-5.886164999434514,5.113422486009621e-09,-0.32872084237337307,True,Healthcare Access,has_welfare,
Top 5 Districts,Bottom 5 Districts,662,633,0.9909365558912386,0.9889415481832543,,,0.001995007707984331,Chi-Square,0.006588694949123883,0.9353061398233268,,False,Education & Skills,can_speak,0.020014877818828047
Top 5 Districts,Bottom 5 Districts,662,633,0.9788519637462235,0.9778830963665087,,,0.0009688673797147995,Chi-Square,0.0,1.0,,False,Education & Skills,can_read,0.006660197459159356
Top 5 Districts,Bottom 5 Districts,662,633,0.9803625377643505,0.9731437598736177,,,0.007218777890732775,Chi-Square,0.46029614740947744,0.4974856008236558,,False,Education & Skills,can_write,0.04804959424180666
Top 5 Districts,Bottom 5 Districts,662,633,0.9803625377643505,0.9447077409162717,,,0.03565479684807871,Chi-Square,10.548180434430787,0.0011630252388646885,,True,Education & Skills,can_math,0.193538554864503
Top 5 Districts,Bottom 5 Districts,662,633,4.969788519637462,3.7314375987361768,2.107330254708456,2.1990879840709794,1.2383509209012855,t-test,10.338270563644357,4.056646823436692e-24,0.5752630878907417,True,Education & Skills,education_level,
Top 5 Districts,Bottom 5 Districts,662,633,0.229607250755287,0.14375987361769352,,,0.0858473771375935,Chi-Square,15.086457670550711,0.000102697397290429,,True,Education & Skills,has_training,0.22165591344665259
Top 5 Districts,Bottom 5 Districts,662,633,0.5830815709969789,0.6429699842022117,,,-0.05988841320523286,Chi-Square,4.640188272484509,0.03123157598175677,,True,Employment & Income,employed,-0.12304977521778127
Top 5 Districts,Bottom 5 Districts,409,425,0.43031784841075793,0.37411764705882355,,,0.056200201351934376,Chi-Square,2.510252777194898,0.11310778769492093,,False,Employment & Income,has_contract,0.11468384154216849
Top 5 Districts,Bottom 5 Districts,409,425,0.43031784841075793,0.36705882352941177,,,0.06325902488134616,Chi-Square,3.2218197985860684,0.07266280748124455,,False,Employment & Income,has_occupation_welfare,0.12929968156449312
Top 5 Districts,Bottom 5 Districts,337,362,23828.842729970325,21122.651933701658,14844.235518241614,11698.92831398196,2706.1907962686673,t-test,2.663979589320756,0.007917225748032164,0.2033460738664071,True,Employment & Income,monthly_income,
Top 5 Districts,Bottom 5 Districts,384,409,8.302083333333334,8.860635696821516,2.2650473532841797,2.1357463192048636,-0.5585523634881824,t-test,-3.5675052840536203,0.00038241375156947393,-0.25396789884803456,True,Employment & Income,working_hours,
Top 5 Districts,Bottom 5 Districts,662,633,0.04229607250755287,0.05845181674565561,,,-0.01615574423810274,Chi-Square,1.4489292790852373,0.22869983645295017,,False,Employment & Income,occupation_injury,-0.07409886432463364
Top 5 Districts,Bottom 5 Districts,409,425,0.05623471882640587,0.04941176470588235,,,0.006822954120523521,Chi-Square,0.08162566348408384,0.7751063316171775,,False,Employment & Income,unpaid_work,0.0305185200278405
Top 5 Districts,Bottom 5 Districts,662,633,0.08006042296072508,0.10110584518167456,,,-0.02104542222094949,Chi-Square,1.4972023042842844,0.2211023353903129,,False,Food Security,food_insecure_worry,-0.07344246540539923
Top 5 Districts,Bottom 5 Districts,662,633,0.05891238670694864,0.05687203791469194,,,0.002040348792256702,Chi-Square,0.0014541967744115714,0.9695808971048828,,False,Food Security,food_insecure_skip,0.00873695860648993
Top 5 Districts,Bottom 5 Districts,662,633,0.004531722054380665,0.004739336492890996,,,-0.00020761443851033054,Fisher's Exact,,1.0,,False,Violence & Safety,community_murder,-0.003056637711364024
Top 5 Districts,Bottom 5 Districts,662,633,0.0256797583081571,0.05055292259083728,,,-0.02487316428268018,Chi-Square,4.836953437495021,0.027856065459186882,,True,Violence & Safety,physical_violence,-0.13167126849898675
Top 5 Districts,Bottom 5 Districts,662,633,0.08459214501510574,0.09320695102685624,,,-0.008614806011750492,Chi-Square,0.19986876978234097,0.654826792118999,,False,Violence & Safety,psychological_violence,-0.030278410433682512
Top 5 Districts,Bottom 5 Districts,662,633,0.01661631419939577,0.014218009478672985,,,0.0023983047207227857,Chi-Square,0.015488878777218643,0.9009555632557212,,False,Violence & Safety,sexual_violence,0.019480577792407666
Top 5 Districts,Bottom 5 Districts,662,633,0.0,0.0,,,0.0,Fisher's Exact,,1.0,,False,Violence & Safety,unsafe_community,0.0
Top 5 Districts,Bottom 5 Districts,662,633,0.0256797583081571,0.01579778830963665,,,0.009881969998520451,Chi-Square,1.1016573756903112,0.29390266715816415,,False,Violence & Safety,discrimination,0.06984079215025829
Top 5 Districts,Bottom 5 Districts,662,633,0.5030211480362538,0.2401263823064771,,,0.26289476572977666,Chi-Square,94.35140122826198,2.641998142094186e-22,,True,Housing & Environment,own_house,0.552597390493941
Top 5 Districts,Bottom 5 Districts,662,633,0.2809667673716012,0.3222748815165877,,,-0.041308114144986474,Chi-Square,2.4309454170507814,0.118961132630874,,False,Housing & Environment,rent_house,-0.09005092720126573
Top 5 Districts,Bottom 5 Districts,662,633,0.32779456193353473,0.6255924170616114,,,-0.29779785512807666,Chi-Square,113.92294164588422,1.354721658532921e-26,,True,Housing & Environment,health_pollution,-0.6055153371488287
Top 5 Districts,Bottom 5 Districts,662,632,0.02416918429003021,0.11392405063291139,,,-0.08975486634288118,Chi-Square,39.691695228845276,2.9738739741749006e-10,,True,Housing & Environment,experienced_disaster,-0.37638049308889643
Top 5 Districts,Bottom 5 Districts,555,477,3.9513513513513514,4.033542976939203,2.1910906267090238,2.030990626552693,-0.08219162558785165,t-test,-0.6249298656453255,0.532156298490833,-0.03879512893292443,False,Family & Household,household_size,
Top 5 Districts,Bottom 5 Districts,528,438,0.2821969696969697,0.3013698630136986,0.6175065418687983,0.6632200384563557,-0.01917289331672889,t-test,-0.461437175741692,0.6445960046602828,-0.030021678924432898,False,Family & Household,children_in_hh,
Top 5 Districts,Bottom 5 Districts,546,467,2.3076923076923075,2.663811563169165,1.8265662839205696,2.65393804704413,-0.3561192554768575,t-test,-2.4462571223939857,0.014647325697306262,-0.15854901456598025,True,Family & Household,workers_in_hh,
Top 5 Districts,Bottom 5 Districts,548,472,1.5784671532846715,1.2266949152542372,9.049086726814629,3.113133484700295,0.3517722380304342,t-test,0.8532733754837158,0.3938027673357474,0.0505200587756768,False,Family & Household,elderly_in_hh,
Top 5 Districts,Bottom 5 Districts,662,633,0.3413897280966767,0.28278041074249605,,,0.05860931735418068,Chi-Square,4.902448105490299,0.026818650236972514,,True,Family & Household,married,0.12661831646719413
Top 5 Districts,Bottom 5 Districts,662,633,684.6873111782477,507.24012638230647,5222.69773703744,983.4645662186202,177.4471847959412,t-test,0.8584130917952728,0.39095413098084075,0.04673398044522522,False,Family & Household,health_expense,
Top 5 Districts,Bottom 5 Districts,662,633,547.1963746223565,813.1200631911532,1815.513232458919,1402.8385909092676,-265.9236885687967,t-test,-2.956913244700675,0.0031662266458535454,-0.16345075514955817,True,Family & Household,hh_health_expense,
