outcome_variable,outcome_label,outcome_value,stratify_variable,stratify_label,stratify_group,count,mean,std,median,min,max,percentage,group_total
occupation_status,Currently working,0,has_children,Has Children (<5),1,67.0,,,,,,33.004926108374384,203.0
occupation_status,Currently working,1,has_children,Has Children (<5),1,136.0,,,,,,66.99507389162561,203.0
occupation_contract,Has employment contract,0.0,has_children,Has Children (<5),0,212.0,,,,,,50.23696682464455,422.0
occupation_contract,Has employment contract,1.0,has_children,Has Children (<5),0,210.0,,,,,,49.763033175355446,422.0
occupation_contract,Has employment contract,0.0,has_children,Has Children (<5),1,67.0,,,,,,37.01657458563536,181.0
occupation_contract,Has employment contract,1.0,has_children,Has Children (<5),1,114.0,,,,,,62.98342541436463,181.0
occupation_welfare,Has work benefits,0.0,income_group,Income Level,Low,26.0,,,,,,81.25,32.0
occupation_welfare,Has work benefits,1.0,income_group,Income Level,Low,6.0,,,,,,18.75,32.0
occupation_welfare,Has work benefits,0.0,income_group,Income Level,Middle,66.0,,,,,,53.2258064516129,124.0
occupation_welfare,Has work benefits,1.0,income_group,Income Level,Middle,58.0,,,,,,46.774193548387096,124.0
occupation_welfare,Has work benefits,0.0,income_group,Income Level,High,124.0,,,,,,41.05960264900662,302.0
occupation_welfare,Has work benefits,1.0,income_group,Income Level,High,178.0,,,,,,58.94039735099338,302.0
occupation_injury,"Work injury (serious, past 12 months)",0,homeowner,Home Ownership,Other,209.0,,,,,,95.4337899543379,219.0
occupation_injury,"Work injury (serious, past 12 months)",1,homeowner,Home Ownership,Other,10.0,,,,,,4.5662100456621,219.0
occupation_injury,"Work injury (serious, past 12 months)",0,homeowner,Home Ownership,Owner,94.0,,,,,,92.15686274509804,102.0
occupation_injury,"Work injury (serious, past 12 months)",1,homeowner,Home Ownership,Owner,8.0,,,,,,7.8431372549019605,102.0
occupation_injury,"Work injury (serious, past 12 months)",0,homeowner,Home Ownership,Renter,324.0,,,,,,89.01098901098901,364.0
occupation_injury,"Work injury (serious, past 12 months)",1,homeowner,Home Ownership,Renter,40.0,,,,,,10.989010989010989,364.0
occupation_injury,"Work injury (serious, past 12 months)",0,disabled,Disability Status,0,605.0,,,,,,92.22560975609755,656.0
occupation_injury,"Work injury (serious, past 12 months)",1,disabled,Disability Status,0,51.0,,,,,,7.774390243902439,656.0
occupation_injury,"Work injury (serious, past 12 months)",0,disabled,Disability Status,1,22.0,,,,,,75.86206896551724,29.0
occupation_injury,"Work injury (serious, past 12 months)",1,disabled,Disability Status,1,7.0,,,,,,24.137931034482758,29.0
physical_violence,Experienced physical violence (past 12 months),0,has_children,Has Children (<5),0,430.0,,,,,,89.21161825726142,482.0
physical_violence,Experienced physical violence (past 12 months),1,has_children,Has Children (<5),0,52.0,,,,,,10.78838174273859,482.0
physical_violence,Experienced physical violence (past 12 months),0,has_children,Has Children (<5),1,165.0,,,,,,81.2807881773399,203.0
physical_violence,Experienced physical violence (past 12 months),1,has_children,Has Children (<5),1,38.0,,,,,,18.7192118226601,203.0
psychological_violence,Experienced psychological violence (past 12 months),0,age_group,Age Group,15-29,179.0,,,,,,65.0909090909091,275.0
psychological_violence,Experienced psychological violence (past 12 months),1,age_group,Age Group,15-29,96.0,,,,,,34.909090909090914,275.0
psychological_violence,Experienced psychological violence (past 12 months),0,age_group,Age Group,30-44,198.0,,,,,,73.88059701492537,268.0
psychological_violence,Experienced psychological violence (past 12 months),1,age_group,Age Group,30-44,70.0,,,,,,26.119402985074625,268.0
psychological_violence,Experienced psychological violence (past 12 months),0,age_group,Age Group,45-59,87.0,,,,,,78.37837837837837,111.0
psychological_violence,Experienced psychological violence (past 12 months),1,age_group,Age Group,45-59,24.0,,,,,,21.62162162162162,111.0
psychological_violence,Experienced psychological violence (past 12 months),0,age_group,Age Group,60+,15.0,,,,,,71.42857142857143,21.0
psychological_violence,Experienced psychological violence (past 12 months),1,age_group,Age Group,60+,6.0,,,,,,28.57142857142857,21.0
psychological_violence,Experienced psychological violence (past 12 months),0,has_children,Has Children (<5),0,357.0,,,,,,74.06639004149378,482.0
psychological_violence,Experienced psychological violence (past 12 months),1,has_children,Has Children (<5),0,125.0,,,,,,25.933609958506228,482.0
psychological_violence,Experienced psychological violence (past 12 months),0,has_children,Has Children (<5),1,128.0,,,,,,63.05418719211823,203.0
psychological_violence,Experienced psychological violence (past 12 months),1,has_children,Has Children (<5),1,75.0,,,,,,36.94581280788177,203.0
training,Participated in training (past 12 months),0,education_group,Education Level,Low,32.0,,,,,,86.48648648648648,37.0
training,Participated in training (past 12 months),1,education_group,Education Level,Low,5.0,,,,,,13.513513513513514,37.0
training,Participated in training (past 12 months),0,education_group,Education Level,Middle,104.0,,,,,,81.25,128.0
training,Participated in training (past 12 months),1,education_group,Education Level,Middle,24.0,,,,,,18.75,128.0
training,Participated in training (past 12 months),0,education_group,Education Level,High,371.0,,,,,,71.34615384615385,520.0
training,Participated in training (past 12 months),1,education_group,Education Level,High,149.0,,,,,,28.653846153846153,520.0
training,Participated in training (past 12 months),0,has_children,Has Children (<5),0,368.0,,,,,,76.34854771784232,482.0
training,Participated in training (past 12 months),1,has_children,Has Children (<5),0,114.0,,,,,,23.651452282157674,482.0
training,Participated in training (past 12 months),0,has_children,Has Children (<5),1,139.0,,,,,,68.4729064039409,203.0
training,Participated in training (past 12 months),1,has_children,Has Children (<5),1,64.0,,,,,,31.527093596059114,203.0
